player_pkey,Player,Team,Year,isOverseas,isBatsman,isBowler,isWicketKeeper,isCapped,UncappedAndPerformed,runs_per_match,matches_bat,strike_rate_bat,average_bat,wickets_per_match,matches_bowl,economy_rate,strike_rate_bowl,average_bowl,bat_powerplay,bat_death,bowl_powerplay,bowl_death,base,Amount
168,Harpreet Brar,Punjab Kings,2022,0,1,1,0,0,0,7,11,114.9253731,11,1.105263158,19,6.945652174,20.28571429,17.52380952,0,64.52226316,31,0,0.2,3.8
127,Harshal Patel,Royal Challengers Bangalore,2022,0,1,1,0,1,0,26.13043478,23,160.6951872,28.61904762,1.275862069,29,8.088669951,22.18918919,16.45945946,93.34588889,78.55957143,18.73469388,13.56847444,2,10.75
137,Ishan Kishan,Mumbai Indians,2022,0,0,0,1,1,0,30.28070175,57,141.0130719,33.84313725,0,0,0,0,0,247.8154407,135.6380741,0,0,2,15.25
215,Ishan Porel,Punjab Kings,2022,0,0,1,0,0,1,2,1,40,2,1.388888889,18,6.507462687,17.44,16.08,0,0,12.48803828,7.933719967,0.2,0.25
221,Isuru Udana,Royal Challengers Bangalore,2020,1,1,1,0,0,1,12.57142857,42,143.0894309,18.20689655,0.983050847,59,8.328205128,28,20.17241379,0,270.188371,16.50996274,11.65416173,0.5,0.5
7,Jagadeesha Suchith,Sunrisers Hyderabad,2022,0,0,1,0,0,1,10.16666667,18,121.192053,16.63636364,0.921052632,38,6.969230769,25.88571429,22.28571429,23.37866667,13.916,13.57879587,12.43636364,0.2,0.2
7,Jagadeesha Suchith,Sunrisers Hyderabad,2021,0,0,1,0,0,1,10.16666667,18,121.192053,16.63636364,0.921052632,38,6.969230769,25.88571429,22.28571429,23.37866667,13.916,13.57879587,12.43636364,0.2,0.3
130,Jalaj Saxena,Punjab Kings,2021,0,1,1,0,0,1,9.5,8,82.60869565,19,1.666666667,12,6.292682927,12.9,12.3,0,32.958,8.590909091,2.769230769,0.2,0.3
211,James Neesham,Rajasthan Royals,2022,1,1,1,0,1,0,17.34146341,41,140.7920792,24.51724138,1.125,48,9.696055684,25.7962963,15.96296296,77.667,186.4536561,17.91630016,10.64421779,1.5,1.5
211,James Neesham,Mumbai Indians,2021,1,1,1,0,1,0,17.34146341,41,140.7920792,24.51724138,1.125,48,9.696055684,25.7962963,15.96296296,77.667,186.4536561,17.91630016,10.64421779,0.5,0.5
211,James Neesham,Kings XI Punjab,2020,1,1,1,0,1,0,17.34146341,41,140.7920792,24.51724138,1.125,48,9.696055684,25.7962963,15.96296296,77.667,186.4536561,17.91630016,10.64421779,0.5,0.5
135,Jason Behrendorff,Royal Challengers Bangalore,2022,1,0,1,0,1,0,2.375,8,82.60869565,4.75,0.948717949,39,7.110831234,25.43243243,21.45945946,0,29.871,12.11707317,43.61538462,0.75,0.75
242,Jason Holder,Lucknow Super Giants,2022,1,1,1,0,1,0,13.75,44,135.0446429,17.28571429,0.980769231,52,7.908847185,28.92156863,21.94117647,111.2573902,189.4416627,14.43851443,12.95788678,1.5,8.75
264,Jason Roy,Gujarat Titans,2022,1,1,0,0,1,0,25.2972973,74,136.8421053,26.36619718,0,0,0,0,0,745.1381625,81.05136364,0,0,2,2
264,Jason Roy,Delhi Capitals,2020,1,1,0,0,1,0,25.2972973,74,136.8421053,26.36619718,0,0,0,0,0,745.1381625,81.05136364,0,0,1,1.5
128,Jayant Yadav,Gujarat Titans,2022,0,1,1,0,1,0,1.25,8,83.33333333,3.333333333,0.75,28,6.448275862,26.71428571,24.85714286,0,0,11.94708749,21,1,1.7
175,Jaydev Unadkat,Mumbai Indians,2022,0,0,1,0,1,0,6.727272727,22,116.5354331,12.33333333,1.066666667,60,8.553797468,28.15625,19.75,0,57.92704348,15.31305055,14.93498132,0.75,1.3
175,Jaydev Unadkat,Rajasthan Royals,2020,0,0,1,0,1,0,6.727272727,22,116.5354331,12.33333333,1.066666667,60,8.553797468,28.15625,19.75,0,57.92704348,15.31305055,14.93498132,0.75,3
375,Jhye Richardson,Punjab Kings,2021,1,0,1,0,1,0,8.846153846,26,146.4968153,23,1.274509804,51,7.672727273,22.72307692,17.76923077,0,154.3852222,13.82219073,12.79778144,2,14
2060,Jitesh Sharma,Punjab Kings,2022,0,0,0,1,0,0,22.82608696,23,130.2729529,23.86363636,0,0,0,0,0,81.70496045,0,0,0,0.2,0.2
178,Jofra Archer,Mumbai Indians,2022,1,1,1,0,1,0,9.081632653,49,150.8474576,16.48148148,1.302083333,96,7.546811398,22.248,17.688,0,242.2521224,13.34312916,11.75065396,2,8
54,Jonny Bairstow,Punjab Kings,2022,1,0,0,1,1,0,33.47727273,44,148.6377397,38.76315789,0,0,0,0,0,418.607701,148.6714651,0,0,1.5,6.75
202,Josh Hazlewood,Royal Challengers Bangalore,2022,1,0,1,0,1,0,12,1,400,12,0.7,10,6.611111111,34,30.85714286,0,136.714,13.16724092,24.42857143,2,7.75
54,Josh Hazlewood,Chennai Super Kings,2020,1,0,1,0,1,0,33.47727273,44,148.6377397,38.76315789,0,0,0,0,0,418.607701,148.6714651,0,0,2,2
222,Joshua Philippe,Royal Challengers Bangalore,2020,1,0,0,1,1,0,26.11320755,53,139.2354125,31.45454545,0,0,0,0,0,451.8294284,136.0330759,0,0,0.2,0.2
4452,K.Bhagath Varma,Chennai Super Kings,2022,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2
4452,K.Bhagath Varma,Chennai Super Kings,2021,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2
95,K.C Cariappa,Rajasthan Royals,2022,0,0,1,0,0,0,3.4,5,130.7692308,8.5,0.666666667,18,6.368715084,31.66666667,29.83333333,0,50.86371429,37.6875,20.68085106,0.2,0.3
95,K.C Cariappa,Rajasthan Royals,2021,0,0,1,0,0,0,3.4,5,130.7692308,8.5,0.666666667,18,6.368715084,31.66666667,29.83333333,0,50.86371429,37.6875,20.68085106,0.2,0.2
4,K.M. Asif,Chennai Super Kings,2022,0,0,1,0,0,0,0.333333333,3,33.33333333,1,1.133333333,15,8,22.11764706,16.58823529,0,0,10.03327787,15.26565395,0.2,0.2
2145,K.S. Bharat,Delhi Capitals,2022,0,0,0,1,0,1,24.81818182,11,135.1485149,24.81818182,0,0,0,0,0,169.7332712,0,0,0,0.2,2
126,Kagiso Rabada,Punjab Kings,2022,1,0,1,0,1,0,5.884615385,26,110.8695652,8.5,1.5,62,7.965738758,20,15.06451613,0,81.43511111,14.65791239,9.794790845,2,9.25
70,Kamlesh Nagarkoti,Delhi Capitals,2022,0,1,1,0,0,1,3.666666667,6,70.96774194,7.333333333,0.555555556,9,8.884615385,46.2,31.2,0,37.27094737,21.75,21.64816054,0.4,1.1
376,Kane Richardson,Royal Challengers Bangalore,2020,1,0,1,0,1,0,5.263157895,19,119.047619,14.28571429,1.344262295,61,7.699346405,21.54878049,16.79268293,0,69.95870588,13.55166068,11.12614736,2,4
2193,Karan Sharma,Lucknow Super Giants,2022,0,1,1,0,0,0,30.16666667,6,148.3606557,36.2,1,2,5.5,22,24,0,0,0,0,0.2,0.2
