Name,Base,Sold,Team,Prev_team,Nationality,Role
KULDEEP SEN,0.2,0.2,RR,Nil,Indian,Bowler
KULDIP YADAV,0.2,0.2,RR,RR,Indian,Bowler
SHUBHAM GARHWAL,0.2,0.2,RR,Nil,Indian,All-Rounder
TEJAS BAROKA,0.2,0.2,RR,Nil,Indian,Bowler
JAGADEESHA SUCHITH,0.2,0.2,SRH,SRH,Indian,Bowler
PRIYAM GARG,0.2,0.2,SRH,SRH,Indian,Batsman
RAVIKUMAR SAMARTH,0.2,0.2,SRH,Nil,Indian,Batsman
SAURABH DUBEY,0.2,0.2,SRH,Nil,Indian,Bowler
SHASHANK SINGH,0.2,0.2,SRH,Nil,Indian,All-Rounder
AAQIB KHAN,0.2,0,Nil,Nil,NA,NA
AARON FINCH,1.5,0,Nil,Nil,NA,NA
AARON HARDIE,0.2,0,Nil,Nil,NA,NA
ABHIJEET SAKET,0.2,0,Nil,Nil,NA,NA
ABHIMANYU EASWARAN,0.2,0,Nil,Nil,NA,NA
ABHISHEK RAUT,0.2,0,Nil,Nil,NA,NA
ABID MUSHTAQ,0.2,0,Nil,Nil,NA,NA
ADAM ZAMPA,2,0,Nil,RCB,NA,NA
ADIL RASHID,2,0,Nil,PBKS,NA,NA
ADITHYA ASHOK,0.2,0,Nil,Nil,NA,NA
ADITYA TARE,0.2,0,Nil,MI,NA,NA
ADITYA THAKARE,0.2,0,Nil,Nil,NA,NA
AGNIVESH AYACHI,0.2,0,Nil,Nil,NA,NA
AIDAN CAHILL,0.2,0,Nil,Nil,NA,NA
AJAY DEV GOUD,0.2,0,Nil,Nil,NA,NA
AJAY MANDAL,0.2,0,Nil,Nil,NA,NA
AKASH CHOUDHARY,0.2,0,Nil,Nil,NA,NA
AKASH MADHWAL,0.2,0,Nil,Nil,NA,NA
AKASH SINGH,0.2,0,Nil,Nil,NA,NA
AKEAL HOSEIN,0.5,0,Nil,Nil,NA,NA
AKILA DANANJAYA,0.5,0,Nil,Nil,NA,NA
AKSHAY KARNEWAR,0.2,0,Nil,Nil,NA,NA
AKSHAY WAKHARE,0.2,0,Nil,Nil,NA,NA
AKSHDEEP NATH,0.2,0,Nil,Nil,NA,NA
ALEX ROSS,0.2,0,Nil,Nil,NA,NA
ALI KHAN,0.4,0,Nil,Nil,NA,NA
AMANDEEP KHARE,0.2,0,Nil,Nil,NA,NA
AMIT ALI,0.2,0,Nil,Nil,NA,NA
AMIT MISHRA,1.5,0,Nil,DC,NA,NA
AMIT MISHRA,0.2,0,Nil,Nil,NA,NA
AMIT RAMKUMAR YADAV,0.2,0,Nil,Nil,NA,NA
ANARU KITCHEN,0.5,0,Nil,Nil,NA,NA
ANDILE PHEHLUKWAYO,0.5,0,Nil,Nil,NA,NA
ANDRE FLETCHER,0.5,0,Nil,Nil,NA,NA
ANDREW TYE,1,0,Nil,RR,NA,NA
ANIKET CHOUDHARY,0.2,0,Nil,Nil,NA,NA
