Team,Player,Tournament,Matches,Batting Innings,Not Out,Runds Scored,Highest Score,Batting Average,Balls Faced,Batting Strike Rate,100,50,0,4s,6s,Bowling Innings,Overs Bowled,Maidens Bowled,Runs Conceded,Wickets Taken,Bowling Average,Bowling Economy Rate,Bowling Strike Rate,4+ Innings Wickets,5+ Innings Wickets,Catches Taken,Stumpings Made,Price
Chennai Super Kings,KM Jadhav,2018,1,1,1,24,2,0,22,109.09,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,78000000
Chennai Super Kings,KM Jadhav,2019,14,12,3,162,2,18,169,95.85,0,1,1,19,3,0,0,0,0,0,0,0,0,0,0,4,0,50000000
Delhi Capitals,KMA Paul,2019,8,6,1,18,2,3.6,24,75,0,0,2,1,1,8,27.1,0,237,9,26.33,8.72,18.1,0,0,5,0,5000000
Rising Pune Supergiants,KP Pietersen,2016,4,4,2,73,2,36.5,61,119.67,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,1,0,35000000
Sunrisers Hyderabad,KS Williamson,2016,6,6,0,124,2,20.66,122,101.63,0,1,0,14,0,1,1,0,7,0,0,7,0,0,0,5,0,20000000
Sunrisers Hyderabad,KS Williamson,2017,7,7,1,256,2,42.66,169,151.47,0,2,0,20,10,0,0,0,0,0,0,0,0,0,0,1,0,30000000
Sunrisers Hyderabad,KS Williamson,2018,17,17,3,735,2,52.5,516,142.44,0,8,1,63,28,0,0,0,0,0,0,0,0,0,0,6,0,50000000
Sunrisers Hyderabad,KS Williamson,2019,9,9,2,156,2,22.28,130,120,0,1,0,12,5,0,0,0,0,0,0,0,0,0,0,2,0,60000000
Kolkata Knight Riders,Kuldeep Yadav,2016,3,0,0,0,2,0,0,0,0,0,0,0,0,3,12,0,100,6,16.66,8.33,12,0,0,1,0,40000000
Kolkata Knight Riders,Kuldeep Yadav,2017,12,2,0,20,2,10,22,90.9,0,0,0,2,0,11,41,0,340,12,28.33,8.29,20.5,0,0,1,0,50000000
Kolkata Knight Riders,Kuldeep Yadav,2018,16,3,2,12,2,12,24,50,0,0,0,1,0,16,51.2,0,418,17,24.58,8.14,18.1,1,0,6,0,58000000
Kolkata Knight Riders,Kuldeep Yadav,2019,9,4,2,12,2,6,8,150,0,0,2,1,0,9,33,0,286,4,71.5,8.66,49.5,0,0,3,0,20000000
Sunrisers Hyderabad,KV Sharma,2016,5,3,3,36,2,0,30,120,0,0,0,3,1,5,16.2,0,171,0,0,10.46,0,0,0,0,0,32000000
Mumbai Indians,KV Sharma,2017,9,6,0,49,2,8.16,41,119.51,0,0,0,5,2,9,30.4,0,214,13,16.46,6.97,14.1,1,0,3,0,50000000
Chennai Super Kings,KV Sharma,2018,6,1,1,0,2,0,0,0,0,0,0,0,0,5,9.3,0,89,4,22.25,9.36,14.2,0,0,3,0,50000000
Chennai Super Kings,KV Sharma,2019,1,0,0,0,2,0,0,0,0,0,0,0,0,1,2.5,0,33,1,33,11.64,17,0,0,0,0,10000000
