pkey,created_on,last_updated_on,version,balls,fours,innings,maidens,no_balls,position,runs_0,runs,sixes,status,wickets,wide_balls,match_pkey,player_pkey
181,"2021-02-14 23:33:01",NULL,0,24,NULL,1,0,0,3,9,35,NULL,NULL,2,1,16,98
182,"2021-02-14 23:33:01",NULL,0,24,NULL,1,0,0,4,13,18,NULL,NULL,1,0,16,63
183,"2021-02-14 23:33:01",NULL,0,24,NULL,1,0,0,5,10,25,NULL,NULL,1,0,16,71
184,"2021-02-14 23:33:01",NULL,0,24,NULL,2,0,0,1,10,32,NULL,NULL,1,0,16,120
185,"2021-02-14 23:33:01",NULL,0,24,NULL,2,0,0,2,10,18,NULL,NULL,1,1,16,109
186,"2021-02-14 23:33:01",NULL,0,18,NULL,2,0,0,3,7,26,NULL,NULL,0,0,16,113
187,"2021-02-14 23:33:01",NULL,0,21,NULL,2,0,0,4,7,32,NULL,NULL,1,0,16,126
188,"2021-02-14 23:33:01",NULL,0,18,NULL,2,0,0,5,12,10,NULL,NULL,1,1,16,131
189,"2021-02-14 23:33:01",NULL,0,6,NULL,2,0,0,6,2,5,NULL,NULL,1,1,16,144
190,"2021-02-14 23:33:06",NULL,0,18,NULL,1,0,0,1,6,41,NULL,NULL,0,1,17,81
191,"2021-02-14 23:33:06",NULL,0,24,NULL,1,0,0,2,4,32,NULL,NULL,0,0,17,92
192,"2021-02-14 23:33:06",NULL,0,24,NULL,1,0,0,3,7,30,NULL,NULL,1,1,17,93
193,"2021-02-14 23:33:06",NULL,0,12,NULL,1,0,0,4,3,32,NULL,NULL,0,0,17,96
194,"2021-02-14 23:33:06",NULL,0,24,NULL,1,0,0,5,6,31,NULL,NULL,1,0,17,64
195,"2021-02-14 23:33:06",NULL,0,12,NULL,1,0,0,6,6,22,NULL,NULL,1,2,17,60
196,"2021-02-14 23:33:06",NULL,0,6,NULL,1,0,0,7,0,16,NULL,NULL,0,0,17,90
197,"2021-02-14 23:33:06",NULL,0,24,NULL,2,0,0,1,7,61,NULL,NULL,0,1,17,52
198,"2021-02-14 23:33:06",NULL,0,24,NULL,2,0,1,2,12,34,NULL,NULL,2,1,17,10
199,"2021-02-14 23:33:06",NULL,0,24,NULL,2,0,0,3,8,24,NULL,NULL,1,0,17,39
200,"2021-02-14 23:33:06",NULL,0,14,NULL,2,0,2,4,5,36,NULL,NULL,0,1,17,32
201,"2021-02-14 23:33:06",NULL,0,19,NULL,2,0,0,5,8,21,NULL,NULL,2,0,17,26
202,"2021-02-14 23:33:06",NULL,0,10,NULL,2,0,0,6,2,28,NULL,NULL,0,1,17,29
203,"2021-02-14 23:33:08",NULL,0,24,NULL,1,0,0,1,6,41,NULL,NULL,0,1,18,160
204,"2021-02-14 23:33:08",NULL,0,24,NULL,1,0,0,2,10,23,NULL,NULL,3,1,18,191
205,"2021-02-14 23:33:08",NULL,0,24,NULL,1,0,0,3,6,35,NULL,NULL,0,1,18,184
206,"2021-02-14 23:33:08",NULL,0,24,NULL,1,0,0,4,7,38,NULL,NULL,0,1,18,179
207,"2021-02-14 23:33:08",NULL,0,24,NULL,1,0,0,5,8,23,NULL,NULL,0,1,18,189
208,"2021-02-14 23:33:08",NULL,0,24,NULL,2,0,2,1,8,40,NULL,NULL,1,1,18,2
209,"2021-02-14 23:33:08",NULL,0,24,NULL,2,1,0,2,10,17,NULL,NULL,2,0,18,30
210,"2021-02-14 23:33:08",NULL,0,24,NULL,2,0,0,3,7,37,NULL,NULL,2,1,18,9
211,"2021-02-14 23:33:08",NULL,0,24,NULL,2,0,0,4,7,24,NULL,NULL,0,0,18,24
212,"2021-02-14 23:33:08",NULL,0,24,NULL,2,0,0,5,7,20,NULL,NULL,0,0,18,36
213,"2021-02-14 23:33:10",NULL,0,24,NULL,1,0,0,1,13,34,NULL,NULL,1,1,19,66
214,"2021-02-14 23:33:10",NULL,0,18,NULL,1,0,0,2,8,20,NULL,NULL,1,1,19,71
215,"2021-02-14 23:33:10",NULL,0,24,NULL,1,0,0,3,12,13,NULL,NULL,1,0,19,75
216,"2021-02-14 23:33:10",NULL,0,6,NULL,1,0,0,4,1,8,NULL,NULL,0,0,19,65
217,"2021-02-14 23:33:10",NULL,0,24,NULL,1,0,1,5,10,34,NULL,NULL,2,0,19,98
218,"2021-02-14 23:33:10",NULL,0,24,NULL,1,0,0,6,13,27,NULL,NULL,1,1,19,63
219,"2021-02-14 23:33:10",NULL,0,24,NULL,2,0,0,1,11,28,NULL,NULL,1,0,19,135
