Player,Role,Team,Year,Player Origin,Amt,Amt_inf
Christopher Morris,All-Rounder,Rajasthan Royals,2015,Overseas,1.4,1.9305
Darren Sammy,All-Rounder,Royal Challengers Bangalore,2015,Overseas,2.8,3.8611
David Wiese,All-Rounder,Royal Challengers Bangalore,2015,Overseas,2.8,3.8611
Dinesh Karthik,Wicket Keeper,Royal Challengers Bangalore,2015,Indian,10.5,14.4791
Dinesh Salunkhe,All-Rounder,Rajasthan Royals,2015,Indian,0.1,0.1379
Domnic Joseph Muthuswamy,Bowler,Delhi Daredevils,2015,Overseas,0.75,1.0342
Eklavya Dwivedi,Wicket Keeper,Chennai Super Kings,2015,Indian,0.1,0.1379
Eoin Morgan,Batsman,Sunrisers Hyderabad,2015,Overseas,1.5,2.0684
Gurinder Sandhu,Bowler,Delhi Daredevils,2015,Indian,1.7,2.3442
Hanuma Vihari,Batsman,Sunrisers Hyderabad,2015,Indian,0.1,0.1379
Hardik Pandya,All-Rounder,Mumbai Indians,2015,Indian,0.1,0.1379
Irfan Pathan,All-Rounder,Chennai Super Kings,2015,Indian,1.5,2.0684
J Suchith,All-Rounder,Mumbai Indians,2015,Indian,0.1,0.1379
Jalaj Saxena,All-Rounder,Royal Challengers Bangalore,2015,Indian,0.1,0.1379
James Neesham,All-Rounder,Kolkata Knight Riders,2015,Overseas,0.5,0.6895
Jaydev Unadkat,Bowler,Delhi Daredevils,2015,Indian,1.1,1.5169
Juan Theron,Bowler,Rajasthan Royals,2015,Overseas,0.3,0.4137
K.C. Cariappa,Bowler,Kolkata Knight Riders,2015,Indian,2.4,3.3095
K.K. Jiyaz,Bowler,Delhi Daredevils,2015,Indian,0.1,0.1379
Kane Williamson,All-Rounder,Sunrisers Hyderabad,2015,Overseas,0.6,0.8274
Kevin Pietersen,Batsman,Sunrisers Hyderabad,2015,Overseas,2,2.7579
Kona Srikar Bharat,Wicket Keeper,Delhi Daredevils,2015,Indian,0.1,0.1379
Kyle Abbott,Bowler,Chennai Super Kings,2015,Overseas,0.3,0.4137
Laxmi Ratan Shukla,All-Rounder,Sunrisers Hyderabad,2015,Indian,0.3,0.4137
Marcus Stoinis,All-Rounder,Delhi Daredevils,2015,Overseas,0.25,0.3447
Michael Hussey,Batsman,Chennai Super Kings,2015,Overseas,1.5,2.0684
